,user_id,store_name,geo,device,timestamp,event_name
51127,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:32:45.735308,page_view
51148,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:33:02.369622,page_view
51128,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:33:19.375231,page_view
51129,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:33:29.129112,page_view
51130,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:33:44.732010,page_view
51131,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:33:50.875251,page_view
51133,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:34:07.756807,page_view
51134,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:34:20.798302,page_view
51132,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:34:30.290141,page_view
51135,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:34:41.918213,page_view
51136,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:35:02.763168,page_view
51149,366,FR,"{""continent"":""Europe"",""country"":""France"",""region"":""Ile-de-France"",""sub_continent"":""Western Europe""}","{""category"":""mobile"",""operating_system"":""Android"",""operating_system_version"":""Android 10"",""language"":""fr"",""time_zone_offset_seconds"":null,""browser"":null,""browser_version"":null}",2023-01-23 12:35:10.147826,page_view
