title,nivel,weather,basic,adventurous,style,fit,color_name
Abba Top miniprint ,2,warm,false,two three,boho classic,straight,black
Abba Top print ,2,warm,false,two three,boho classic,straight,blue_dark
Abbey Sweater embroidered ,2,cold,false,two,classic,straight,black
Abby Dress caribbean,1,warm,false,three,classic street,tight,red
Abelone Playsuit miniprint ,1,warm,false,four five,boho classic,loose,black
Abigail Shirt wdc ,2,both,false,two,classic minimal,loose,blue_dark
Abigail Shirt wdc ,2,both,false,two,classic minimal,loose,brown_ecru
Abstract Sweater zebra ,2,cold,false,three,street boho,tight,green_khaki
Acacia Jacket ward,3,both,false,two,classic minimal,tight,black
Acacia Jacket ward,3,both,false,two,classic minimal,tight,blue_dark
Acacia Top majolica,2,warm,false,two three,night boho,straight,black
Acacia Top majolica,2,warm,false,two three,night boho,straight,white
Acentia Short own ,1,warm,false,three four,boho classic,loose,blue_dark
Acom Jacket port ,3,cold,false,three,classic casual,straight,black
Acom Jacket port ,3,cold,false,three,classic casual,straight,brown
Acom Jacket port ,3,cold,false,three,classic casual,straight,brown_light
Acom Jacket port ,3,cold,false,three,classic casual,straight,brown_camel
Acom Jacket port ,3,cold,false,three,classic casual,straight,green
Acom Jacket port ,3,cold,false,three,classic casual,straight,green_khaki
Acom Jacket port ,3,cold,false,three,classic casual,straight,yellow_mustand
Addi Playsuit flowers,1,warm,false,four five,boho,straight,yellow_mustand
Addi Skirt even,1,warm,false,three,boho,loose,brown_ecru
Addi Skirt even,1,warm,false,three,boho,loose,yellow_mustand
Adelade Top micro,2,cold,false,two,boho casual,loose,black
Ademia Top ward,2,warm,false,three,street,straight,garnet
Adette Shirt broadway ,2,warm,false,two,boho casual,loose,yellow_mustand
Adina Jeans button,1,cold,false,two three,casual classic,straight,blue_dark
Adina Jeans button,1,cold,false,two three,casual classic,straight,orange
Adina Jeans button,1,cold,false,two three,casual classic,straight,pink
Agathe Skirt mila ,1,warm,false,three,boho street,loose,blue_dark
Agave Tshirt mila ,2,warm,false,two,boho,straight,black
Agave Tshirt mila ,2,warm,false,two,boho,straight,brown_ecru
Agnes Sweater season ,2,cold,false,two,boho,oversize,blue_dark
Agnes Sweater season ,2,cold,false,two,boho,oversize,pink
Agnes T-shirt off ,2,both,false,two three,classic minimal,tight,blue_dark
Agnes T-shirt off ,2,both,false,two three,classic minimal,tight,brown_ecru
Agnet Sweatshirt soya ,2,cold,false,two,casual street,loose,blue_dark
Agnet Sweatshirt soya ,2,cold,false,two,casual street,loose,gray_light
Agnet Sweatshirt soya ,2,cold,false,two,casual street,loose,pink
Agosto Dress ycoo,1,warm,false,three,boho classic,straight,blue_dark
Agreable Top mila ,2,warm,false,two,minimal boho,straight,black
Agreable Top mila ,2,warm,false,two,minimal boho,straight,brown_ecru
Agreable Top mila ,2,warm,false,two,minimal boho,straight,green_khaki
Agreable Top mila ,2,warm,false,two,minimal boho,straight,pink_nude
Ahina Pant floral,1,warm,false,three,boho classic,loose,black
Aida Jeans denim ,1,cold,false,two three,street,tight,blue_dark
Aida Pant camo,1,cold,false,three,street night,tight,green_dark
Aida Pant salute ,1,cold,false,three,street,tight,black
Aida Pant salute ,1,cold,false,three,street,tight,blue_dark
Aida Pant salute ,1,cold,false,three,street,tight,garnet
Aida Pant salute ,1,cold,false,three,street,tight,grey_dark
Aida Pant salute ,1,cold,false,three,street,tight,green_khaki
Aissuia Jeans denim,1,cold,false,two,boho classic,tight,blue
Aitana Jacket moon,3,warm,false,three two,casual street,straight,blue_dark
Aiur Shirt hippie ,2,warm,false,three,boho,loose,blue_turquoise
Akoz Dress print ,1,warm,false,three two,boho classic,straight,blue_dark
Akoz Dress print ,1,warm,false,three two,boho classic,straight,blue_petrol
Akoz Dress summer ,1,warm,false,three,night boho,straight,black
Akoz Dress summer ,1,warm,false,three,night boho,straight,blue_dark
Akoz Dress summer ,1,warm,false,three,night boho,straight,garnet_crimson
Akoz Dress summer ,1,warm,false,three,night boho,straight,green_dark
Akoz Dress summer ,1,warm,false,three,night boho,straight,orange_rust
Akoz Jumpsuit print ,1,warm,false,four,boho street,straight,blue
Akoz Jumpsuit print ,1,warm,false,four,boho street,straight,brown
Akoz Jumpsuit print ,1,warm,false,four,boho street,straight,green
Akoz Jumpsuit summer ,1,warm,false,four,boho classic,straight,blue_dark
Akoz Jumpsuit summer ,1,warm,false,four,boho classic,straight,garnet
Akoz Jumpsuit summer ,1,warm,false,four,boho classic,straight,green_dark
Akoz Jumpsuit summer ,1,warm,false,four,boho classic,straight,yellow_mustand
Akoz Shirt venus ,2,warm,false,two,classic minimal,straight,black
Akoz Shirt venus ,2,warm,false,two,classic minimal,straight,blue_dark
Akoz Shirt venus ,2,warm,false,two,classic minimal,straight,brown_ecru
Akoz Shirt venus ,2,warm,false,two,classic minimal,straight,green_light
Akoz Shirt venus ,2,warm,false,two,classic minimal,straight,yellow_mustand
Akoz Shirt venus ,2,warm,false,two,classic minimal,straight,pink_salmon
Akoz Skirt spring ,1,warm,false,three four,boho classic,straight,orange_rust
Akuline Tshirt white ,2,warm,false,three two,street casual,straight,white
Alaia Skirt animal ,1,both,false,four,boho,straight,black
Alaia Skirt animal ,1,both,false,four,boho,straight,blue_dark
Alana Pant ancle ,1,warm,false,three,boho minimal,loose,blue_dark
Alanis Sweatshirt mellow,2,cold,false,three,casual street,straight,yellow
Alba Dress light,1,warm,false,three,boho classic,straight,blue_light
Alba Top dots ,2,warm,false,three,boho classic,straight,brown_camel
Alba Top dots ,2,warm,false,three,boho classic,straight,garnet_crimson
Alba Top dots ,2,warm,false,three,boho classic,straight,white
Alberte Jacket soya ,3,both,false,three,classic,straight,black
Alberte Jacket soya ,3,both,false,three,classic,straight,blue_dark
Alejandra Shirt woven ,2,both,false,two three,street,straight,blue_light
