title,nivel,weather,basic,adventurous,style,fit,color_name
Abba Top miniprint ,2,warm,false,two three,boho classic,straight,red
Abba Top print ,2,warm,false,two three,boho classic,straight,black
Abigail Shirt wdc ,2,both,false,two,classic minimal,loose,black
Abigail Shirt wdc ,2,both,false,two,classic minimal,loose,blue_dark
Abstract Sweater zebra ,2,cold,false,three,street boho,tight,blue_dark
Acacia Jacket ward,3,both,false,two,classic minimal,tight,yellow_mustand
Acacia Jacket ward,3,both,false,two,classic minimal,tight,brown_ecru
Acom Jacket port ,3,cold,false,three,classic casual,straight,yellow_mustand
Acom Jacket port ,3,cold,false,three,classic casual,straight,garnet
Acom Jacket port ,3,cold,false,three,classic casual,straight,blue_dark
Acom Jacket port ,3,cold,false,three,classic casual,straight,orange
Acom Jacket port ,3,cold,false,three,classic casual,straight,pink
Adelade Top micro,2,cold,false,two,boho casual,loose,black
Agnes Sweater season ,2,cold,false,two,boho,oversize,blue_dark
Agnes Sweater season ,2,cold,false,two,boho,oversize,blue_dark
Agnet Sweatshirt soya ,2,cold,false,two,casual street,loose,blue_petrol
Agnet Sweatshirt soya ,2,cold,false,two,casual street,loose,black
Agnet Sweatshirt soya ,2,cold,false,two,casual street,loose,blue_dark
Aida Jeans denim ,1,cold,false,two three,street,tight,garnet_crimson
Aida Pant camo,1,cold,false,three,street night,tight,green_dark
Aida Pant salute ,1,cold,false,three,street,tight,orange_rust
Aida Pant salute ,1,cold,false,three,street,tight,blue
Aida Pant salute ,1,cold,false,three,street,tight,brown
Aida Pant salute ,1,cold,false,three,street,tight,green
Aida Pant salute ,1,cold,false,three,street,tight,blue_dark
Aissuia Jeans denim,1,cold,false,two,boho classic,tight,garnet
Aiur Shirt hippie ,2,warm,false,three,boho,loose,green_dark
Alaia Skirt animal ,1,both,false,four,boho,straight,yellow_mustand
Alaia Skirt animal ,1,both,false,four,boho,straight,black
Alberte Jacket soya ,3,both,false,three,classic,straight,blue_dark
Alberte Jacket soya ,3,both,false,three,classic,straight,brown_ecru
Alexa Cardigan soft ,3,cold,false,two,boho,straight,green_light
Alexa Cardigan soft ,3,cold,false,two,boho,straight,yellow_mustand
Alexa Cardigan soft ,3,cold,false,two,boho,straight,pink_salmon
Alexa Cardigan soft ,3,cold,false,two,boho,straight,orange_rust
Alexa Cardigan soft ,3,cold,false,two,boho,straight,white
Alexa Jacket soya ,3,cold,false,two,casual classic,straight,blue_dark
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,yellow
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,brown_camel
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,garnet_crimson
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,white
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,white
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,brown_beige
Alice Shirt vneck,2,warm,false,three,boho classic,loose,garnet_crimson
Alice Shirt vneck,2,warm,false,three,boho classic,loose,green_dark
Alice Shirt vneck,2,warm,false,three,boho classic,loose,green_light
Allie Dress joules ,1,cold,false,three,boho classic,straight,yellow
Amada Top bohck ,2,warm,false,two,boho classic,straight,white
Amali Tshirt numph ,2,warm,false,two,casual boho,straight,black
Amanda Jacket paris ,3,cold,false,three,boho classic,straight,brown_ecru
Amanda Jacket paris ,3,cold,false,three,boho classic,straight,green
Amanda Jacket paris ,3,cold,false,three,boho classic,straight,blue_dark
Amara Sweater ls ,2,cold,false,two,boho street,loose,white
Amara Sweater ls ,2,cold,false,two,boho street,loose,yellow
Amara Sweater ls ,2,cold,false,two,boho street,loose,blue_light
Amara Sweater ls ,2,cold,false,two,boho street,loose,garnet_crimson
Amara Sweater ls ,2,cold,false,two,boho street,loose,pink
Amara Sweater ls ,2,cold,false,two,boho street,loose,purple_aubergine
Amara Sweater ls ,2,cold,false,two,boho street,loose,black
Amara Sweater ls ,2,cold,false,two,boho street,loose,blue_klein
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,green_dark
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,white
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,green
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,brown_ecru
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,white
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,blue_klein
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,green
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,brown_ecru
Amara Sweater v-neck ,2,cold,false,two,classic minimal,loose,grey_dark
Amber Cardigan knit,3,cold,false,two,casual classic,straight,brown_beige
Amberes Top wardrobe ,2,warm,false,two,boho classic,straight,green_khaki
Amberes Top wardrobe ,2,warm,false,two,boho classic,straight,blue_turquoise
Amsterdam T-shirt wardrobe ,2,warm,false,two three,boho classic,tight,grey_dark
Amsterdam T-shirt wardrobe ,2,warm,false,two three,boho classic,tight,pink
Amsterdam T-shirt wardrobe ,2,warm,false,two three,boho classic,tight,brown
Amsterdam T-shirt wardrobe ,2,warm,false,two three,boho classic,tight,green
Amsterdam T-shirt wardrobe ,2,warm,false,two three,boho classic,tight,yellow_mustand
Anabel Skirt soya,1,warm,false,four five,street boho,straight,orange_rust
Andalo Jacket long,3,cold,false,two,casual street,straight,yellow
Andalo Jacket long,3,cold,false,two,casual street,straight,blue_dark
Andrea Dress hippie ,1,warm,false,three,boho classic,loose,green_khaki
Andrea Dress hippie ,1,warm,false,three,boho classic,loose,white
Andrea Dress hippie ,1,warm,false,three,boho classic,loose,black
Andrea Dress hippie ,1,warm,false,three,boho classic,loose,blue_dark
Andy Pant check,1,cold,false,two,minimal classic,straight,gray_light
Animal Skirt pleat ,1,cold,false,three four,boho classic,straight,grey_dark
Anna Shirt wdc,2,warm,false,two three,classic,loose,white
Anna Shirt wdc,2,warm,false,two three,classic,loose,yellow
Anna Shirt wdc,2,warm,false,two three,classic,loose,blue_dark
Anna T-shirt oneck,2,both,true,two,casual classic,straight,blue_klein
Anna T-shirt oneck,2,both,true,two,casual classic,straight,blue_dark
Anna T-shirt oneck,2,both,true,two,casual classic,straight,blue_dark
Annan Dress cerise,1,both,false,three,boho classic,straight,brown_ecru
Annan Dress cerise,1,both,false,three,boho classic,straight,gray_light
Ante Pant ,1,cold,false,three four,street night,tight,green
Ante Trench belt,3,cold,false,two,classic,straight,blue_light
Arya Cardigan maxi ,3,cold,false,two,boho classic,straight,blue_petrol
Arya Cardigan maxi ,3,cold,false,two,boho classic,straight,pink_fuchsia
Asha Sweater joules ,2,cold,false,two,casual street,straight,brown
Asmine Jacket soya ,3,cold,false,two,street minimal,straight,yellow
Athantic Jeans lexy ,1,both,false,two,casual street,tight,black
Athlei Coat padded ,3,cold,false,two,classic casual,straight,green_khaki
Aurore Sweater stripes ,2,cold,false,two,boho,oversize,orange
Aurore Sweater stripes ,2,cold,false,two,boho,oversize,green
Aurore Sweater stripes ,2,cold,false,two,boho,oversize,black
Austen Shirt miniprint ,2,both,false,two three,classic boho,loose,blue_dark
Austen Shirt miniprint ,2,both,false,two three,classic boho,loose,blue_klein
Austen Skirt floral ,1,both,false,three two,boho classic,loose,garnet_crimson
Auttum Shirt hippie,2,warm,false,two three,boho classic,loose,green
Auttum Shirt hippie,2,warm,false,two three,boho classic,loose,red
Avery Dress dots ,1,warm,false,four,boho classic,straight,pink_salmon
Awpocket Shirt miniprint,2,warm,false,three,boho,straight,blue
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,grey_dark
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,blue_dark
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,grey
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,yellow_mustand
Awvneck Shirt dots ,2,warm,false,three,boho classic,straight,orange_rust
Base Sweater high ,2,cold,true,one two,minimal classic,straight,white
Base Sweater high ,2,cold,true,one two,minimal classic,straight,blue_dark
Base Sweater high ,2,cold,true,one two,minimal classic,straight,blue
Base Sweater high ,2,cold,true,one two,minimal classic,straight,garnet
Basha Skirt bohck,1,both,false,two three,classic street,tight,green
Basha Skirt bohck,1,both,false,two three,classic street,tight,grey_dark
Basic Shirt colors ,2,both,true,two,classic minimal,straight,green_khaki
Basic Shirt colors ,2,both,true,two,classic minimal,straight,yellow_mustand
Basic Shirt colors ,2,both,true,two,classic minimal,straight,blue_dark
Basic Shirt colors ,2,both,true,two,classic minimal,straight,white
Basic Shirt colors ,2,both,true,two,classic minimal,straight,blue_dark
Basic Shirt colors ,2,both,true,two,classic minimal,straight,brown_ecru
Bawalma Scarf young ,3,cold,,three four,boho street,,green
Beatrice Dress print ,1,cold,false,two,classic boho,straight,red
Beatrice Dress print ,1,cold,false,two,classic boho,straight,blue_dark
